Stock,Horizon,Threshold,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,WinRate,Sharpe,TotalReturn
AAPL,2,0.01,0.6065573770491803,0.4937343358395989,61,5,56,0.3934426229508196,-2.8601037702406003,-0.3539022954399077
AAPL,3,0.01,0.6,0.528,40,3,37,0.275,-2.7347846162592218,-0.3177050689884333
AAPL,4,0.01,0.4666666666666667,0.4389140271493213,30,5,25,0.5,-0.8639575356706538,-0.1285565578644866
AAPL,5,0.01,0.625,0.5333333333333333,24,4,20,0.3333333333333333,-1.5312335752143778,-0.1804290477891644
AAPL,6,0.01,0.65,0.5208333333333334,20,3,17,0.35,-1.53388604638907,-0.2142725058042555
AAPL,7,0.01,0.4705882352941176,0.5714285714285714,17,1,16,0.3529411764705882,-2.0857053261158804,-0.2470447495041537
AAPL,8,0.01,0.6,0.6111111111111112,15,2,13,0.2666666666666666,-1.234832355603833,-0.1816992454571019
AAPL,9,0.01,0.6923076923076923,0.7,13,3,10,0.1538461538461538,-1.3881867572526227,-0.1877796877026857
AAPL,10,0.01,0.4166666666666667,0.3142857142857143,12,2,10,0.25,-0.6817040237813004,-0.1237685705449127
META,2,0.01,0.5409836065573771,0.481981981981982,61,22,39,0.4590163934426229,-1.0365625345676115,-0.3130095835963545
META,3,0.01,0.5,0.3914141414141414,40,14,26,0.45,0.8555477709321864,0.2932158439892502
META,4,0.01,0.3666666666666666,0.3348214285714286,30,9,21,0.4,-1.553076597192611,-0.3913647838076308
META,5,0.01,0.375,0.3263888888888888,24,7,17,0.25,-2.113306984751364,-0.4621103385649124
META,6,0.01,0.35,0.4175824175824176,20,6,14,0.35,0.6090316330564499,0.1802344896680388
META,7,0.01,0.4117647058823529,0.5,17,7,10,0.3529411764705882,-0.6990911184310624,-0.2597011633590587
META,8,0.01,0.4,0.375,15,5,10,0.4666666666666667,-0.5375074185856613,-0.2217023515487872
META,9,0.01,0.3846153846153846,0.425,13,4,9,0.3076923076923077,-1.0631969657884397,-0.2965258911130634
META,10,0.01,0.4166666666666667,0.6666666666666667,12,4,8,0.3333333333333333,-0.8389042220729676,-0.2607641927343886
NVDA,2,0.01,0.6229508196721312,0.7037037037037038,61,28,33,0.5409836065573771,-0.136590951355886,-0.1181616649714805
NVDA,3,0.01,0.575,0.6441102756892231,40,16,24,0.575,-0.1016970000543641,-0.1025405633097727
NVDA,4,0.01,0.5666666666666667,0.6342592592592592,30,15,15,0.6,0.4000681943707379,0.0782309161201002
NVDA,5,0.01,0.625,0.7692307692307693,24,12,12,0.5416666666666666,0.6184940108400286,0.1629452626671019
NVDA,6,0.01,0.7,0.6900000000000001,20,8,12,0.5,0.1899997975920382,0.0051621425876688
NVDA,7,0.01,0.5882352941176471,0.7083333333333334,17,8,9,0.4705882352941176,-0.2800109426790644,-0.1709149466362808
NVDA,8,0.01,0.7333333333333333,0.8571428571428571,15,8,7,0.5333333333333333,0.5983372230650756,0.1672038246068188
NVDA,9,0.01,0.6923076923076923,0.8,13,7,6,0.4615384615384615,0.35494547193985,0.0592800178078267
NVDA,10,0.01,0.75,0.8055555555555556,12,7,5,0.5,0.2705804671714024,0.0197935954468246
SPY,2,0.01,0.7704918032786885,0.5641025641025641,61,3,58,0.3934426229508196,-1.4690222272906224,-0.1470732255413274
SPY,3,0.01,0.8,0.4731182795698925,40,3,37,0.375,-1.0340946239864983,-0.1023564001130702
SPY,4,0.01,0.7,0.4391534391534391,30,2,28,0.3,-1.8571608890557163,-0.1359250744950397
SPY,5,0.01,0.625,0.5555555555555555,24,2,22,0.375,-1.7536788232923175,-0.118987372094607
SPY,6,0.01,0.65,0.5729166666666667,20,3,17,0.45,-0.4796055305866648,-0.0517509214210065
SPY,7,0.01,0.5294117647058824,0.3888888888888889,17,2,15,0.4117647058823529,-0.8516620120945213,-0.0858211799753261
SPY,8,0.01,0.6,0.6481481481481481,15,2,13,0.4,-0.8440035695568258,-0.0682280613291453
SPY,9,0.01,0.5384615384615384,0.2857142857142857,13,1,12,0.3076923076923077,-1.8607941161661292,-0.1325797818801198
SPY,10,0.01,0.5,0.3999999999999999,12,1,11,0.3333333333333333,-1.3746614636931775,-0.1083461796797279
TSLA,2,0.01,0.4754098360655737,0.3967032967032967,61,16,45,0.4426229508196721,-0.8155760715232335,-0.3113559295025059
TSLA,3,0.01,0.6,0.467032967032967,40,8,32,0.5,-0.3695435398865248,-0.2036740902051542
TSLA,4,0.01,0.4666666666666667,0.5066666666666666,30,7,23,0.5666666666666667,0.256009191338454,0.0230057240555965
TSLA,5,0.01,0.4166666666666667,0.2797202797202797,24,5,19,0.4583333333333333,-0.5853753225572494,-0.294053918048375
TSLA,6,0.01,0.5,0.4791666666666666,20,4,16,0.45,-1.023589900902983,-0.4278219978981048
TSLA,7,0.01,0.6470588235294118,0.5571428571428572,17,4,13,0.5294117647058824,0.1414826136741975,-0.0418288667535365
TSLA,8,0.01,0.4666666666666667,0.3571428571428571,15,2,13,0.4,-0.8746303759297972,-0.3907505859577724
TSLA,9,0.01,0.5384615384615384,0.5952380952380952,13,5,8,0.5384615384615384,0.4967439514065295,0.131383386299998
TSLA,10,0.01,0.5,0.4571428571428572,12,3,9,0.4166666666666667,-0.5948442539331603,-0.3623332262774198
